program_name,round,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
quadratic.bril,1,65,782,"{('main', 'quadratic'): True}","{('main', 'quadratic'): True, ('quadratic', 'sqrt'): True}"
quadratic.bril,2,65,782,"{('main', 'quadratic'): True, ('quadratic', 'sqrt'): True}","{('main', 'quadratic'): True, ('quadratic', 'sqrt'): True}"
quadratic.bril,3,65,782,"{('main', 'quadratic'): True, ('quadratic', 'sqrt'): True}","{('main', 'quadratic'): True, ('quadratic', 'sqrt'): True}"
primes-between.bril,1,45,529398,"{('main', 'mod'): True}","{('main', 'mod'): True}"
primes-between.bril,2,45,529398,"{('main', 'mod'): True}","{('main', 'mod'): True}"
primes-between.bril,3,45,529398,"{('main', 'mod'): True}","{('main', 'mod'): True}"
birthday.bril,1,38,480,"{('main', 'probability'): True}","{('main', 'probability'): True}"
birthday.bril,2,38,480,"{('main', 'probability'): True}","{('main', 'probability'): True}"
birthday.bril,3,38,480,"{('main', 'probability'): True}","{('main', 'probability'): True}"
orders.bril,1,59,4926,"{('gcd', 'mod'): True, ('main', 'orders'): True}","{('lcm', 'gcd'): True, ('lcm', 'abs'): True, ('gcd', 'mod'): True, ('orders', 'lcm'): True, ('main', 'orders'): True, ('main', 'abs'): True}"
orders.bril,2,59,4926,"{('gcd', 'mod'): True, ('main', 'orders'): True}","{('lcm', 'gcd'): True, ('lcm', 'abs'): True, ('gcd', 'mod'): True, ('orders', 'lcm'): True, ('main', 'orders'): True, ('main', 'abs'): True}"
orders.bril,3,59,4926,"{('gcd', 'mod'): True, ('main', 'orders'): True}","{('lcm', 'gcd'): True, ('lcm', 'abs'): True, ('gcd', 'mod'): True, ('orders', 'lcm'): True, ('main', 'orders'): True, ('main', 'abs'): True}"
sum-check.bril,1,22,5016,"{('main', 'sum_by_loop'): True, ('main', 'sum_by_formula'): True}","{('main', 'sum_by_loop'): True, ('main', 'sum_by_formula'): True}"
sum-check.bril,2,22,5016,"{('main', 'sum_by_loop'): True, ('main', 'sum_by_formula'): True}","{('main', 'sum_by_loop'): True, ('main', 'sum_by_formula'): True}"
sum-check.bril,3,22,5016,"{('main', 'sum_by_loop'): True, ('main', 'sum_by_formula'): True}","{('main', 'sum_by_loop'): True, ('main', 'sum_by_formula'): True}"
palindrome.bril,1,69,294,"{}","{('main', 'palindrome'): True, ('main', 'pow'): True, ('palindrome', 'pow'): True}"
palindrome.bril,2,69,294,"{}","{('main', 'palindrome'): True, ('main', 'pow'): True, ('palindrome', 'pow'): True}"
palindrome.bril,3,69,294,"{}","{('main', 'palindrome'): True, ('main', 'pow'): True, ('palindrome', 'pow'): True}"
totient.bril,1,42,253,"{('main', 'totient'): True}","{('main', 'totient'): True, ('totient', 'mod'): True}"
totient.bril,2,42,253,"{('main', 'totient'): True, ('totient', 'mod'): True}","{('main', 'totient'): True, ('totient', 'mod'): True}"
totient.bril,3,42,253,"{('main', 'totient'): True, ('totient', 'mod'): True}","{('main', 'totient'): True, ('totient', 'mod'): True}"
relative-primes.bril,1,75,1865,"{('main', 'relative_primes'): True, ('gcd', 'mod'): True}","{('main', 'relative_primes'): True, ('gcd', 'mod'): True}"
relative-primes.bril,2,75,1865,"{('main', 'relative_primes'): True, ('gcd', 'mod'): True, ('relative_primes', 'gcd'): True}","{('main', 'relative_primes'): True, ('gcd', 'mod'): True, ('relative_primes', 'gcd'): True}"
relative-primes.bril,3,75,1865,"{('main', 'relative_primes'): True, ('gcd', 'mod'): True, ('relative_primes', 'gcd'): True}","{('main', 'relative_primes'): True, ('gcd', 'mod'): True, ('relative_primes', 'gcd'): True}"
hanoi.bril,1,15,97,"{}","{('main', 'hanoi'): True}"
hanoi.bril,2,15,97,"{}","{('main', 'hanoi'): True}"
hanoi.bril,3,15,97,"{}","{('main', 'hanoi'): True}"
is-decreasing.bril,1,34,119,"{('is_decreasing', 'last_digit'): True}","{('main', 'is_decreasing'): True, ('is_decreasing', 'last_digit'): True}"
is-decreasing.bril,2,34,119,"{('is_decreasing', 'last_digit'): True}","{('main', 'is_decreasing'): True, ('is_decreasing', 'last_digit'): True}"
is-decreasing.bril,3,34,119,"{('is_decreasing', 'last_digit'): True}","{('main', 'is_decreasing'): True, ('is_decreasing', 'last_digit'): True}"
check-primes.bril,1,69,8419,"{}","{('main', 'checkPrime'): True}"
check-primes.bril,2,69,8419,"{}","{('main', 'checkPrime'): True}"
check-primes.bril,3,69,8419,"{}","{('main', 'checkPrime'): True}"
sum-sq-diff.bril,1,62,3034,"{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}","{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}"
sum-sq-diff.bril,2,62,3034,"{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}","{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}"
sum-sq-diff.bril,3,62,3034,"{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}","{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}"
fitsinside.bril,1,9,9,"{('main', 'fitsInside'): True}","{('main', 'fitsInside'): True}"
fitsinside.bril,2,9,9,"{('main', 'fitsInside'): True}","{('main', 'fitsInside'): True}"
fitsinside.bril,3,9,9,"{('main', 'fitsInside'): True}","{('main', 'fitsInside'): True}"
fact.bril,1,17,228,"{}","{('main', 'fact'): True}"
fact.bril,2,17,228,"{}","{('main', 'fact'): True}"
fact.bril,3,17,228,"{}","{('main', 'fact'): True}"
loopfact.bril,1,23,115,"{}","{}"
loopfact.bril,2,23,115,"{}","{}"
loopfact.bril,3,23,115,"{}","{}"
recfact.bril,1,24,103,"{}","{('main', 'fac'): True}"
recfact.bril,2,24,103,"{}","{('main', 'fac'): True}"
recfact.bril,3,24,103,"{}","{('main', 'fac'): True}"
factors.bril,1,20,72,"{}","{}"
factors.bril,2,20,72,"{}","{}"
factors.bril,3,20,72,"{}","{}"
perfect.bril,1,30,232,"{}","{}"
perfect.bril,2,30,232,"{}","{}"
perfect.bril,3,30,232,"{}","{}"
bitshift.bril,1,64,157,"{('main', 'LEFTSHIFT'): True, ('pow', 'mod'): True, ('main', 'RIGHTSHIFT'): True}","{('main', 'LEFTSHIFT'): True, ('RIGHTSHIFT', 'pow'): True, ('pow', 'mod'): True, ('LEFTSHIFT', 'pow'): True, ('main', 'RIGHTSHIFT'): True}"
bitshift.bril,2,64,157,"{('main', 'LEFTSHIFT'): True, ('pow', 'mod'): True, ('main', 'RIGHTSHIFT'): True}","{('main', 'LEFTSHIFT'): True, ('RIGHTSHIFT', 'pow'): True, ('pow', 'mod'): True, ('LEFTSHIFT', 'pow'): True, ('main', 'RIGHTSHIFT'): True}"
bitshift.bril,3,64,157,"{('main', 'LEFTSHIFT'): True, ('pow', 'mod'): True, ('main', 'RIGHTSHIFT'): True}","{('main', 'LEFTSHIFT'): True, ('RIGHTSHIFT', 'pow'): True, ('pow', 'mod'): True, ('LEFTSHIFT', 'pow'): True, ('main', 'RIGHTSHIFT'): True}"
digital-root.bril,1,31,221,"{('main', 'is_single_digit'): True}","{('main', 'is_single_digit'): True, ('main', 'peel_last_digit'): True}"
digital-root.bril,2,31,221,"{('main', 'is_single_digit'): True}","{('main', 'is_single_digit'): True, ('main', 'peel_last_digit'): True}"
digital-root.bril,3,31,221,"{('main', 'is_single_digit'): True}","{('main', 'is_single_digit'): True, ('main', 'peel_last_digit'): True}"
up-arrow.bril,1,22,251,"{}","{('main', 'up_arrow'): True}"
up-arrow.bril,2,22,251,"{}","{('main', 'up_arrow'): True}"
up-arrow.bril,3,22,251,"{}","{('main', 'up_arrow'): True}"
sum-divisors.bril,1,33,149,"{('main', 'mod'): True}","{('main', 'mod'): True}"
sum-divisors.bril,2,33,149,"{('main', 'mod'): True}","{('main', 'mod'): True}"
sum-divisors.bril,3,33,149,"{('main', 'mod'): True}","{('main', 'mod'): True}"
ackermann.bril,1,22,1464231,"{}","{('main', 'ack'): True}"
ackermann.bril,2,22,1464231,"{}","{('main', 'ack'): True}"
ackermann.bril,3,22,1464231,"{}","{('main', 'ack'): True}"
pythagorean_triple.bril,1,22,61518,"{}","{}"
pythagorean_triple.bril,2,22,61518,"{}","{}"
pythagorean_triple.bril,3,22,61518,"{}","{}"
euclid.bril,1,42,554,"{('main', 'gcd'): True, ('gcd', 'mod'): True}","{('main', 'gcd'): True, ('gcd', 'mod'): True}"
euclid.bril,2,42,554,"{('main', 'gcd'): True, ('gcd', 'mod'): True}","{('main', 'gcd'): True, ('gcd', 'mod'): True}"
euclid.bril,3,42,554,"{('main', 'gcd'): True, ('gcd', 'mod'): True}","{('main', 'gcd'): True, ('gcd', 'mod'): True}"
binary-fmt.bril,1,14,91,"{('printBinary', 'mod'): True}","{('main', 'printBinary'): True, ('printBinary', 'mod'): True}"
binary-fmt.bril,2,14,91,"{('printBinary', 'mod'): True}","{('main', 'printBinary'): True, ('printBinary', 'mod'): True}"
binary-fmt.bril,3,14,91,"{('printBinary', 'mod'): True}","{('main', 'printBinary'): True, ('printBinary', 'mod'): True}"
lcm.bril,1,28,0,"{}","{('main', 'getMod'): True}"
lcm.bril,2,28,0,"{}","{('main', 'getMod'): True}"
lcm.bril,3,28,0,"{}","{('main', 'getMod'): True}"
gcd.bril,1,25,46,"{}","{}"
gcd.bril,2,25,46,"{}","{}"
gcd.bril,3,25,46,"{}","{}"
catalan.bril,1,25,659378,"{}","{}"
catalan.bril,2,25,659378,"{}","{}"
catalan.bril,3,25,659378,"{}","{}"
armstrong.bril,1,44,127,"{('main', 'power'): True, ('main', 'mod'): True}","{('main', 'power'): True, ('main', 'mod'): True, ('main', 'getDigits'): True}"
armstrong.bril,2,44,127,"{('main', 'power'): True, ('main', 'mod'): True}","{('main', 'power'): True, ('main', 'mod'): True, ('main', 'getDigits'): True}"
armstrong.bril,3,44,127,"{('main', 'power'): True, ('main', 'mod'): True}","{('main', 'power'): True, ('main', 'mod'): True, ('main', 'getDigits'): True}"
pascals-row.bril,1,33,134,"{('main', 'generateNthRow'): True}","{('main', 'generateNthRow'): True}"
pascals-row.bril,2,33,134,"{('main', 'generateNthRow'): True}","{('main', 'generateNthRow'): True}"
pascals-row.bril,3,33,134,"{('main', 'generateNthRow'): True}","{('main', 'generateNthRow'): True}"
collatz.bril,1,23,169,"{}","{}"
collatz.bril,2,23,169,"{}","{}"
collatz.bril,3,23,169,"{}","{}"
sum-bits.bril,1,18,67,"{('main', 'mod'): True}","{('main', 'mod'): True}"
sum-bits.bril,2,18,67,"{('main', 'mod'): True}","{('main', 'mod'): True}"
sum-bits.bril,3,18,67,"{('main', 'mod'): True}","{('main', 'mod'): True}"
rectangles-area-difference.bril,1,13,12,"{}","{('main', 'area'): True}"
rectangles-area-difference.bril,2,13,12,"{}","{('main', 'area'): True}"
rectangles-area-difference.bril,3,13,12,"{}","{('main', 'area'): True}"
mod_inv.bril,1,55,533,"{}","{('main', 'mod'): True}"
mod_inv.bril,2,55,533,"{}","{('main', 'mod'): True}"
mod_inv.bril,3,55,533,"{}","{('main', 'mod'): True}"
reverse.bril,1,26,46,"{}","{}"
reverse.bril,2,26,46,"{}","{}"
reverse.bril,3,26,46,"{}","{}"
fizz-buzz.bril,1,59,3458,"{}","{}"
fizz-buzz.bril,2,59,3458,"{}","{}"
fizz-buzz.bril,3,59,3458,"{}","{}"
bitwise-ops.bril,1,62,1559,"{('main', 'XOR'): True}","{('main', 'XOR'): True, ('XOR', 'AND'): True, ('main', 'AND'): True, ('OR', 'loop_subroutine'): True, ('XOR', 'OR'): True, ('main', 'OR'): True, ('loop_subroutine', 'mod2'): True, ('AND', 'loop_subroutine'): True}"
bitwise-ops.bril,2,62,1559,"{('main', 'XOR'): True}","{('main', 'XOR'): True, ('XOR', 'AND'): True, ('main', 'AND'): True, ('OR', 'loop_subroutine'): True, ('XOR', 'OR'): True, ('main', 'OR'): True, ('loop_subroutine', 'mod2'): True, ('AND', 'loop_subroutine'): True}"
bitwise-ops.bril,3,62,1559,"{('main', 'XOR'): True}","{('main', 'XOR'): True, ('XOR', 'AND'): True, ('main', 'AND'): True, ('OR', 'loop_subroutine'): True, ('XOR', 'OR'): True, ('main', 'OR'): True, ('loop_subroutine', 'mod2'): True, ('AND', 'loop_subroutine'): True}"
cholesky.bril,1,273,3727,"{('main', 'cholesky'): True, ('main', 'transpose'): True, ('main', 'matmul'): True, ('main', 'zeros'): True, ('main', 'printarray'): True, ('cholesky', 'sqrt'): True}","{('main', 'cholesky'): True, ('main', 'fillarray'): True, ('main', 'transpose'): True, ('main', 'matmul'): True, ('main', 'zeros'): True, ('main', 'printarray'): True, ('cholesky', 'sqrt'): True}"
