program_name,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
quadratic.bril,68,782,"{('main', 'quadratic'): False, ('quadratic', 'sqrt'): False}","{('main', 'quadratic'): True, ('quadratic', 'sqrt'): False}"
primes-between.bril,51,529398,"{('main', 'mod'): False}","{('main', 'mod'): True}"
birthday.bril,42,480,"{('main', 'probability'): False}","{('main', 'probability'): True}"
orders.bril,61,4926,"{('lcm', 'gcd'): False, ('orders', 'lcm'): False, ('main', 'orders'): False, ('orders', 'gcd'): False, ('lcm', 'abs'): False, ('main', 'abs'): False, ('gcd', 'mod'): False}","{('lcm', 'gcd'): False, ('orders', 'lcm'): False, ('main', 'orders'): True, ('orders', 'gcd'): False, ('lcm', 'abs'): False, ('main', 'abs'): False, ('gcd', 'mod'): True}"
sum-check.bril,24,5016,"{('main', 'sum_by_formula'): False, ('main', 'sum_by_loop'): False}","{('main', 'sum_by_formula'): True, ('main', 'sum_by_loop'): True}"
palindrome.bril,70,294,"{('palindrome', 'pow'): False, ('main', 'pow'): False, ('main', 'palindrome'): False, ('palindrome', 'palindrome'): False}","{('palindrome', 'pow'): False, ('main', 'pow'): False, ('main', 'palindrome'): True, ('palindrome', 'palindrome'): False}"
totient.bril,42,232,"{('main', 'totient'): False, ('totient', 'mod'): False}","{('main', 'totient'): False, ('totient', 'mod'): True}"
relative-primes.bril,84,1865,"{('relative_primes', 'gcd'): False, ('main', 'relative_primes'): False, ('gcd', 'mod'): False, ('gcd', 'gcd'): False}","{('relative_primes', 'gcd'): False, ('main', 'relative_primes'): True, ('gcd', 'mod'): True, ('gcd', 'gcd'): False}"
hanoi.bril,15,97,"{('main', 'hanoi'): False, ('hanoi', 'hanoi'): False}","{('main', 'hanoi'): True, ('hanoi', 'hanoi'): False}"
is-decreasing.bril,38,119,"{('main', 'is_decreasing'): False, ('is_decreasing', 'last_digit'): False}","{('main', 'is_decreasing'): False, ('is_decreasing', 'last_digit'): True}"
check-primes.bril,71,8419,"{('main', 'checkPrime'): False}","{('main', 'checkPrime'): False}"
sum-sq-diff.bril,66,3034,"{('main', 'sumOfSquares'): False, ('main', 'squareOfSum'): False}","{('main', 'sumOfSquares'): True, ('main', 'squareOfSum'): True}"
fitsinside.bril,10,9,"{('main', 'fitsInside'): False}","{('main', 'fitsInside'): True}"
fact.bril,18,228,"{('main', 'fact'): False, ('fact', 'fact'): False}","{('main', 'fact'): False, ('fact', 'fact'): False}"
loopfact.bril,24,115,"{}","{}"
recfact.bril,26,103,"{('main', 'fac'): False, ('fac', 'fac'): False}","{('main', 'fac'): False, ('fac', 'fac'): False}"
factors.bril,20,72,"{}","{}"
perfect.bril,30,232,"{}","{}"
bitshift.bril,68,155,"{('main', 'RIGHTSHIFT'): False, ('pow', 'mod'): False, ('RIGHTSHIFT', 'pow'): False, ('main', 'LEFTSHIFT'): False, ('LEFTSHIFT', 'pow'): False, ('pow', 'pow'): False}","{('main', 'RIGHTSHIFT'): True, ('pow', 'mod'): True, ('RIGHTSHIFT', 'pow'): True, ('main', 'LEFTSHIFT'): True, ('LEFTSHIFT', 'pow'): True, ('pow', 'pow'): False}"
digital-root.bril,32,221,"{('main', 'peel_last_digit'): False, ('main', 'is_single_digit'): False}","{('main', 'peel_last_digit'): True, ('main', 'is_single_digit'): True}"
up-arrow.bril,22,251,"{('main', 'up_arrow'): False, ('up_arrow', 'up_arrow'): False}","{('main', 'up_arrow'): True, ('up_arrow', 'up_arrow'): False}"
sum-divisors.bril,34,149,"{('main', 'mod'): False}","{('main', 'mod'): True}"
ackermann.bril,22,1464231,"{('main', 'ack'): False, ('ack', 'ack'): False}","{('main', 'ack'): False, ('ack', 'ack'): False}"
pythagorean_triple.bril,22,61518,"{}","{}"
euclid.bril,51,539,"{('main', 'gcd'): False, ('gcd', 'mod'): False}","{('main', 'gcd'): False, ('gcd', 'mod'): True}"
binary-fmt.bril,15,92,"{('printBinary', 'mod'): False, ('main', 'printBinary'): False, ('printBinary', 'printBinary'): False}","{('printBinary', 'mod'): True, ('main', 'printBinary'): False, ('printBinary', 'printBinary'): False}"
lcm.bril,28,0,"{('main', 'getMod'): False}","{('main', 'getMod'): False}"
gcd.bril,25,46,"{}","{}"
catalan.bril,25,659378,"{('main', 'catalan'): False, ('catalan', 'catalan'): False}","{('main', 'catalan'): False, ('catalan', 'catalan'): False}"
armstrong.bril,46,127,"{('main', 'power'): False, ('main', 'mod'): False, ('main', 'getDigits'): False, ('getDigits', 'getDigits'): False}","{('main', 'power'): False, ('main', 'mod'): True, ('main', 'getDigits'): False, ('getDigits', 'getDigits'): False}"
pascals-row.bril,41,134,"{('main', 'generateNthRow'): False}","{('main', 'generateNthRow'): True}"
collatz.bril,23,169,"{}","{}"
sum-bits.bril,19,67,"{('main', 'mod'): False}","{('main', 'mod'): True}"
rectangles-area-difference.bril,13,12,"{('main', 'area'): False}","{('main', 'area'): True}"
mod_inv.bril,59,533,"{('main', 'mod'): False}","{('main', 'mod'): True}"
reverse.bril,26,46,"{}","{}"
fizz-buzz.bril,69,3458,"{}","{}"
bitwise-ops.bril,65,1559,"{('main', 'XOR'): False, ('loop_subroutine', 'mod2'): False, ('XOR', 'AND'): False, ('XOR', 'OR'): False, ('AND', 'loop_subroutine'): False, ('OR', 'loop_subroutine'): False, ('main', 'AND'): False, ('main', 'OR'): False}","{('main', 'XOR'): False, ('loop_subroutine', 'mod2'): True, ('XOR', 'AND'): False, ('XOR', 'OR'): False, ('AND', 'loop_subroutine'): False, ('OR', 'loop_subroutine'): False, ('main', 'AND'): True, ('main', 'OR'): False}"
cholesky.bril,286,3727,"{('main', 'cholesky'): False, ('cholesky', 'sqrt'): False, ('main', 'transpose'): False, ('main', 'printarray'): False, ('main', 'zeros'): False, ('main', 'fillarray'): False, ('main', 'matmul'): False}","{('main', 'cholesky'): True, ('cholesky', 'sqrt'): True, ('main', 'transpose'): True, ('main', 'printarray'): True, ('main', 'zeros'): True, ('main', 'fillarray'): True, ('main', 'matmul'): True}"
mat-inv.bril,124,901,"{('inverse', 'mod'): False, ('determinant', 'mod'): False, ('main', 'inverse'): False, ('main', 'determinant'): False, ('inverse', 'matget'): False, ('main', 'printarray'): False, ('inverse', 'determinant'): False, ('determinant', 'matget'): False}","{('inverse', 'mod'): True, ('determinant', 'mod'): True, ('main', 'inverse'): True, ('main', 'determinant'): True, ('inverse', 'matget'): True, ('main', 'printarray'): True, ('inverse', 'determinant'): True, ('determinant', 'matget'): True}"
dead-branch.bril,23,1096,"{}","{}"
function_call.bril,21,54208816,"{('main', 'main'): False}","{('main', 'main'): False}"
ray-sphere-intersection.bril,106,109,"{('main', 'RaySphereIntersection'): False, ('RaySphereIntersection', 'DotProduct'): False}","{('main', 'RaySphereIntersection'): True, ('RaySphereIntersection', 'DotProduct'): True}"
ray-sphere-intersection.bril,-1,-1,"",""
leibniz.bril,29,12499997,"{}","{}"
n_root.bril,36,711,"{('main', 'n_root'): False, ('n_root', 'pow'): False}","{('main', 'n_root'): True, ('n_root', 'pow'): True}"
